track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,duration_ms,explicit,external_url,query_genre
0kV7C2bqXOeIqOnRGGkYPY,Mis disculpas,6tvDaHOPNWfkc9Q8IghqSR,Walls,5dr5f9aeHuDORZXkJIQWGB,El Día que me Olvides,2026-01-16,,160285,False,https://open.spotify.com/track/0kV7C2bqXOeIqOnRGGkYPY,rock
4Yf5bqU3NK4kNOypcrLYwU,Faint,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,4Gfnly5CzMJQqkUFfoHaP3,Meteora,2003-03-25,,162106,False,https://open.spotify.com/track/4Yf5bqU3NK4kNOypcrLYwU,rock
6SoVWNngePBvujtaoLxOgO,Trozos de cristal (feat. Robe),1tZ99AnqyjgrmPwLfGU5eo,Fito y Fitipaldis,5oEdjJV5w3M9Odc7y2pWS1,A Puerta Cerrada,1998-10-23,,220866,False,https://open.spotify.com/track/6SoVWNngePBvujtaoLxOgO,rock
254bXAqt3zP6P50BdQvEsq,Everywhere - 2017 Remaster,08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,4AsXQ17Arq1cUVoa9dKJ3F,Tango In the Night (Deluxe Edition),1987-04-13,,226653,False,https://open.spotify.com/track/254bXAqt3zP6P50BdQvEsq,rock
07q0QVgO56EorrSGHC48y3,I Was Made For Lovin' You,07XSN3sPlIlB2L2XNcTwJw,KISS,4FA68GsblSfvKZZRfM1tI1,Dynasty,1979-03-23,,271240,False,https://open.spotify.com/track/07q0QVgO56EorrSGHC48y3,rock
6QAsrXPnMSXIbV0yEJHlEX,Nothing Else Matters - Remastered 2021,2ye2Wgw4gimLv2eAKyk1NB,Metallica,7h5xn0Olvx2p0eQcSt1Osy,Metallica (Remastered Deluxe Box Set),2021-09-10,,388733,False,https://open.spotify.com/track/6QAsrXPnMSXIbV0yEJHlEX,rock
40riOy7x9W7GXjyGp4pjAv,Hotel California - 2013 Remaster,0ECwFtbIWEVNwjlrfc6xoL,Eagles,2widuo17g5CEC66IbzveRu,Hotel California (2013 Remaster),1976-12-08,,391376,False,https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv,rock
2RsAajgo0g7bMCHxwH3Sk0,Come As You Are,6olE6TJLqED3rqDCT0FyPh,Nirvana,2UJcKiJxNryhL050F5Z1Fk,Nevermind (Remastered),1991-09-26,,218920,False,https://open.spotify.com/track/2RsAajgo0g7bMCHxwH3Sk0,rock
5fVZC9GiM4e8vu99W0Xf6J,How to Save a Life,0zOcE3mg9nS6l3yxt1Y0bK,The Fray,1IM3GwptCGYjRkzCBolyFK,How To Save A Life,2005-09-13,,262533,False,https://open.spotify.com/track/5fVZC9GiM4e8vu99W0Xf6J,rock
4gMgiXfqyzZLMhsksGmbQV,"Another Brick in the Wall, Pt. 2",0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,5Dbax7G8SWrP9xyzkOvy2F,The Wall,1979-11-30,,238946,False,https://open.spotify.com/track/4gMgiXfqyzZLMhsksGmbQV,rock
7j74lucZ59vqN67Ipe2ZcY,Maneater,77tT1kLj6mCWtFNqiOmP9H,Daryl Hall & John Oates,7ygXmT175bKbOpiPjNwXOB,H2O,1982-10-04,,273173,False,https://open.spotify.com/track/7j74lucZ59vqN67Ipe2ZcY,rock
5ZmVXMkruEitcEJYYL5m0V,Veinticinco,3AIPhNgeF9S1Kyg9Yy3UQW,Dani Martín,68gJ7HIyXTJbj1dX9rJwHh,Veinticinco,2025-10-30,,164915,False,https://open.spotify.com/track/5ZmVXMkruEitcEJYYL5m0V,rock
3AR1c3Dssq51WlGGkuYJNj,El lado oscuro,5B6H1Dq77AV1LZWrbNsuH5,Jarabe De Palo,6mD9lN6mqu4313KpY1RfIp,La Flaca,1996,,288053,False,https://open.spotify.com/track/3AR1c3Dssq51WlGGkuYJNj,rock
